condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
all,,0,100,100,50000,20,32,0.001,60768.88706452626,344081.07477251504,156.35352870156834,191.00570667296503,227
all,,1,100,100,50000,20,32,0.001,21752.527541610114,34085.28975977604,120.6773339163117,84.97835374674781,227
all,,2,100,100,50000,20,32,0.001,48954.59885060314,236898.75847547347,151.78636691995789,161.33867487836287,227
all,,3,100,100,50000,20,32,0.001,19973.537556047482,34308.71873711011,112.60719363749774,85.58871482578164,227
all,,4,100,100,50000,20,32,0.001,71466.27660090913,327522.18842902797,164.56051430097855,211.1457138263584,227
all,,5,100,100,50000,20,32,0.001,21396.215403653452,50771.26017593879,110.58618677866106,95.9555743517123,227
all,,6,100,100,50000,20,32,0.001,81684307.10845615,1230408071.3788292,713.1417402861662,9029.66891082596,227
all,,7,100,100,50000,20,32,0.001,16399.630810817434,27609.73392961867,103.06619954624563,76.17447880731044,227
all,,8,100,100,50000,20,32,0.001,18212.29839943369,28761.3037451842,110.66469751767701,77.40813707385553,227
all,,9,100,100,50000,20,32,0.001,160583.20549206168,1253130.1902816182,189.1010331259589,354.08519224602094,227
bottomk,0.0,0,100,100,50000,20,32,0.001,18647.8998851356,31715.71460796861,113.66007925244632,75.8593243686258,227
bottomk,0.0,1,100,100,50000,20,32,0.001,17308.060361349635,29235.367127075948,109.73899919736299,72.72352234002153,227
bottomk,0.0,2,100,100,50000,20,32,0.001,18800.575108733996,28990.261815158254,116.02327609027539,73.23113531828476,227
bottomk,0.0,3,100,100,50000,20,32,0.001,21688.72210706803,30722.93384070504,124.80532640313963,78.35431332400219,227
bottomk,0.0,4,100,100,50000,20,32,0.001,17746.275676172736,31941.15198397625,112.24920694855801,71.89689046224042,227
bottomk,0.0,5,100,100,50000,20,32,0.001,17183.119957743238,35348.89523725956,108.01502949813354,74.43305636310903,227
bottomk,0.0,6,100,100,50000,20,32,0.001,15649.987116204484,29535.916456251252,105.66566084892504,67.11631160359211,227
bottomk,0.0,7,100,100,50000,20,32,0.001,16345.259154332367,23600.98593823393,109.608601278356,65.95739793560854,227
bottomk,0.0,8,100,100,50000,20,32,0.001,17785.666051654563,29265.02045879296,113.57060691803672,70.06431963366467,227
bottomk,0.0,9,100,100,50000,20,32,0.001,16618.52916216745,29612.701991773123,108.67268164724918,69.49859856128953,227
bottomk,50.0,0,100,100,50000,20,32,0.001,18656.931647078058,31737.17855014344,113.68224366699037,75.8857536933447,227
bottomk,50.0,1,100,100,50000,20,32,0.001,17316.34467897121,29243.08728473626,109.79573330111424,72.69471409981261,227
bottomk,50.0,2,100,100,50000,20,32,0.001,18836.308781964137,29128.682673794105,116.10784612564157,73.34148052292161,227
bottomk,50.0,3,100,100,50000,20,32,0.001,21781.95600507963,30790.24368443894,125.0338076771419,78.58567749958581,227
bottomk,50.0,4,100,100,50000,20,32,0.001,17717.63957852939,31954.52688240401,112.09146946052162,71.94403078934282,227
bottomk,50.0,5,100,100,50000,20,32,0.001,17266.35070021037,35339.76153962939,108.42882990551749,74.3903087713381,227
bottomk,50.0,6,100,100,50000,20,32,0.001,15656.053693460473,29453.40067527447,105.84054836298742,66.88452165479636,227
bottomk,50.0,7,100,100,50000,20,32,0.001,16447.33915125641,24209.69683303056,109.61875819557588,66.71336818119455,227
