condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,overall_mse
bottomk,100.0,3,100,100,50000,20,32,0.001,32343.919092157717
bottomk,100.0,4,100,100,50000,20,32,0.001,23312.883532609834
bottomk,100.0,5,100,100,50000,20,32,0.001,20727.770322617595
bottomk,100.0,2,100,100,50000,20,32,0.001,28551.531397702274
bottomk,100.0,9,100,100,50000,20,32,0.001,14479.534759045666
bottomk,100.0,7,100,100,50000,20,32,0.001,29142.89907039859
bottomk,100.0,0,100,100,50000,20,32,0.001,18473.4375711667
bottomk,100.0,1,100,100,50000,20,32,0.001,17312.425384799426
bottomk,100.0,6,100,100,50000,20,32,0.001,18745.74735958097
bottomk,100.0,8,100,100,50000,20,32,0.001,18853.733428666874
bottomk,50.0,3,100,100,50000,20,32,0.001,8798.247740138459
bottomk,50.0,4,100,100,50000,20,32,0.001,7291.498601933664
bottomk,50.0,5,100,100,50000,20,32,0.001,24689.690177954544
bottomk,50.0,2,100,100,50000,20,32,0.001,15040.40403149925
bottomk,50.0,9,100,100,50000,20,32,0.001,6354.670305347529
bottomk,50.0,7,100,100,50000,20,32,0.001,7234.091096498315
bottomk,50.0,0,100,100,50000,20,32,0.001,8396.059412942024
bottomk,50.0,1,100,100,50000,20,32,0.001,14866.140600188697
bottomk,50.0,6,100,100,50000,20,32,0.001,8251.552590168776
bottomk,50.0,8,100,100,50000,20,32,0.001,13899.008491793657
bottomk,0.0,3,100,100,50000,20,32,0.001,8783.099021824364
bottomk,0.0,4,100,100,50000,20,32,0.001,7341.148143977427
bottomk,0.0,5,100,100,50000,20,32,0.001,24559.42675428203
bottomk,0.0,2,100,100,50000,20,32,0.001,15136.788820108977
bottomk,0.0,9,100,100,50000,20,32,0.001,6462.265172201067
bottomk,0.0,7,100,100,50000,20,32,0.001,6943.452269755971
bottomk,0.0,0,100,100,50000,20,32,0.001,8532.308576282434
bottomk,0.0,1,100,100,50000,20,32,0.001,16250.412182630058
bottomk,0.0,6,100,100,50000,20,32,0.001,8201.98032423831
bottomk,0.0,8,100,100,50000,20,32,0.001,13855.726033704032
all,,3,100,100,50000,20,32,0.001,676.5476296860461
all,,4,100,100,50000,20,32,0.001,105951.99955244258
all,,5,100,100,50000,20,32,0.001,752.4287681721335
all,,2,100,100,50000,20,32,0.001,18884.799666717237
all,,9,100,100,50000,20,32,0.001,43165.32913382623
all,,7,100,100,50000,20,32,0.001,468.62457443309
all,,0,100,100,50000,20,32,0.001,7289.524752726182
all,,1,100,100,50000,20,32,0.001,522.1191200257363
all,,6,100,100,50000,20,32,0.001,387210.08672922803
all,,8,100,100,50000,20,32,0.001,522.7596400411766
topk,100.0,3,100,100,50000,20,32,0.001,616.2991733001821
topk,100.0,4,100,100,50000,20,32,0.001,861.6585856517
topk,100.0,5,100,100,50000,20,32,0.001,504.93951585077355
topk,100.0,2,100,100,50000,20,32,0.001,1077.404215393893
topk,100.0,9,100,100,50000,20,32,0.001,636.1483817833534
topk,100.0,7,100,100,50000,20,32,0.001,386.5752005279489
topk,100.0,0,100,100,5000,20,32,0.001,542.6963308015002
topk,100.0,0,100,100,1000,20,32,0.001,639.5258957584855
topk,100.0,0,100,100,20000,20,32,0.001,522.406635275696
topk,100.0,0,100,100,10000,20,32,0.001,542.6644265556652
topk,100.0,0,100,100,50000,20,32,0.001,494.6879035089084
topk,100.0,1,100,100,50000,20,32,0.001,951.6023011682116
topk,100.0,6,100,100,50000,20,32,0.001,621.9498841565332
