condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,mse_mean,mse_std,rmse_mean,rmse_std,n_targets_used
all,,0,100,100,50000,,,,17165.226882404477,31657.749743274577,104.22757013407602,79.55956734660417,227
all,,1,100,100,50000,,,,15740.871669062757,27976.62324473559,100.54835984235963,75.20514932093533,227
all,,2,100,100,50000,,,,18002.71188908408,30543.841422846857,108.93595892845156,78.50361595592113,227
all,,3,100,100,50000,,,,19960.18198189492,36308.40427900529,111.47254353236342,86.99074975268385,227
all,,4,100,100,50000,,,,15234.443474605598,30856.5030478178,98.78432139923652,74.16422221741028,227
all,,5,100,100,50000,,,,16549.531707093454,36008.76022626155,98.79567351075724,82.57715295035726,227
all,,6,100,100,50000,,,,14967.447202513624,25605.185002287617,99.5198087737719,71.31380404052368,227
all,,7,100,100,50000,,,,15575.577625020984,26337.912591741086,100.50164131289932,74.15674866157293,227
all,,8,100,100,50000,,,,15963.71595592133,26723.57112798433,103.31536252563909,72.89072205125296,227
all,,9,100,100,50000,,,,14219.374531514639,28093.351771224454,95.47543761060933,71.59887288438523,227
bottomk,0.0,0,100,100,5000,,,,20624.253967400888,34478.807110620735,120.9908346350136,77.53680603861213,227
bottomk,0.0,1,100,100,5000,,,,19542.89242070484,28871.75151759919,119.98639782094662,71.89525272078255,227
bottomk,0.0,2,100,100,5000,,,,20322.900295594714,28697.730904432712,122.91652718734103,72.37057640001248,227
bottomk,0.0,3,100,100,5000,,,,23072.583487665197,31555.24562279416,131.11085065134952,76.86714002457005,227
bottomk,0.0,4,100,100,5000,,,,18105.4069907489,30659.021961346498,116.33721051341956,67.75903166264081,227
bottomk,0.0,5,100,100,5000,,,,19553.38594977974,36014.7294280455,117.22870765429752,76.3971702809209,227
bottomk,0.0,6,100,100,5000,,,,18279.470128193832,24362.974499981374,118.83324811328558,64.62606341967911,227
bottomk,0.0,7,100,100,5000,,,,18304.152686784142,24560.527412369654,118.13314910107704,66.09049748432682,227
bottomk,0.0,8,100,100,5000,,,,18879.966963436123,26088.0127801964,120.55248644613911,66.07798253476192,227
bottomk,0.0,9,100,100,5000,,,,18708.670366519826,29432.000825843636,117.17681733494689,70.71273974259553,227
bottomk,50.0,0,100,100,5000,,,,20625.27853215859,34466.100692607324,121.03949491591072,77.46712859846458,227
bottomk,50.0,1,100,100,5000,,,,19555.743255947138,28934.98385020955,119.94202340237048,72.05920381564094,227
bottomk,50.0,2,100,100,5000,,,,20279.37402687225,28648.85398461543,122.80500407067498,72.25860745710817,227
bottomk,50.0,3,100,100,5000,,,,23059.279436123346,31531.68187284575,131.10939346352114,76.78266791017822,227
bottomk,50.0,4,100,100,5000,,,,18113.633185462553,30633.179434995807,116.38454793052597,67.73834787898498,227
bottomk,50.0,5,100,100,5000,,,,19557.588015859033,36017.846544424305,117.21604006959096,76.44430178795744,227
bottomk,50.0,6,100,100,5000,,,,18316.40892378855,24371.645808444908,118.94941314727238,64.6984239561886,227
bottomk,50.0,7,100,100,5000,,,,18329.303785462555,24584.958787314903,118.23069260477509,66.10641777133957,227
bottomk,50.0,8,100,100,5000,,,,18898.59158193833,26086.443301642794,120.62800419380203,66.08110778771146,227
bottomk,50.0,9,100,100,5000,,,,18696.873285022026,29443.72628451246,117.10366786913437,70.75065796786426,227
bottomk,100.0,0,100,100,5000,,,,24212.5598061674,35113.04337310654,132.5659629308169,81.65905100772913,227
bottomk,100.0,1,100,100,5000,,,,25793.543327753305,33032.470165781466,138.42230824417564,81.62203511102702,227
