condition,alpha,seed,top_k,bottom_k,max_samples,epochs,batch_size,lr,overall_mse
bottomk,100.0,3,100,100,5000,,,,4241.501677273653
bottomk,100.0,4,100,100,5000,,,,4375.671994040219
bottomk,100.0,5,100,100,5000,,,,3949.1448061661986
bottomk,100.0,2,100,100,5000,,,,4640.396341421774
bottomk,100.0,9,100,100,5000,,,,4130.368534349148
bottomk,100.0,7,100,100,5000,,,,4416.266535548658
bottomk,100.0,0,100,100,5000,,,,3732.311264576243
bottomk,100.0,1,100,100,5000,,,,3882.26928520335
bottomk,100.0,6,100,100,5000,,,,4022.988156410273
bottomk,100.0,8,100,100,5000,,,,4166.440592012567
topk,100.0,3,100,100,5000,,,,2574.0332224881417
topk,100.0,4,100,100,5000,,,,2650.351428947283
topk,100.0,5,100,100,5000,,,,2007.8743058103043
topk,100.0,2,100,100,5000,,,,3332.414499199044
topk,100.0,9,100,100,5000,,,,2832.286240301186
topk,100.0,7,100,100,5000,,,,2440.8150646717036
topk,100.0,1,100,100,5000,,,,2500.1776493114503
topk,100.0,6,100,100,5000,,,,2953.5689419712808
topk,100.0,8,100,100,5000,,,,3084.3568497911824
all,,3,100,100,50000,,,,848.6345741939011
all,,4,100,100,50000,,,,1199.2372662213788
all,,5,100,100,50000,,,,640.9654075978476
all,,2,100,100,50000,,,,1511.7738559476775
all,,9,100,100,50000,,,,953.3834445048426
all,,7,100,100,50000,,,,547.4945574743568
all,,0,100,100,50000,,,,712.6165505243524
all,,1,100,100,50000,,,,432.9976766532014
all,,6,100,100,50000,,,,776.5191652337559
all,,8,100,100,50000,,,,514.4481052031566
bottomk,50.0,3,100,100,5000,,,,3070.09500267271
bottomk,50.0,4,100,100,5000,,,,2974.6803118163043
bottomk,50.0,5,100,100,5000,,,,2489.46461158647
bottomk,50.0,2,100,100,5000,,,,3752.2238387964658
bottomk,50.0,9,100,100,5000,,,,3265.173791493892
bottomk,50.0,7,100,100,5000,,,,2855.407650489269
bottomk,50.0,0,100,100,5000,,,,3352.830756525246
bottomk,50.0,1,100,100,5000,,,,2871.017813508563
bottomk,50.0,6,100,100,5000,,,,3362.4968229982687
bottomk,50.0,8,100,100,5000,,,,3584.852452007714
topk,50.0,3,100,100,5000,,,,2476.3373957845783
topk,50.0,4,100,100,5000,,,,2527.9950152233396
topk,50.0,5,100,100,5000,,,,1908.9722137527071
topk,50.0,2,100,100,5000,,,,3206.263406058367
topk,50.0,9,100,100,5000,,,,2693.4691498600187
topk,50.0,7,100,100,5000,,,,2350.6098520472515
topk,50.0,0,100,100,5000,,,,2741.3242687848187
topk,50.0,1,100,100,5000,,,,2431.042627747596
topk,50.0,6,100,100,5000,,,,2818.52585406013
topk,50.0,8,100,100,5000,,,,2935.0564642640934
topk,100.0,0,100,100,10000,,,,681.324359167488
topk,100.0,0,100,100,20000,,,,677.1945357810523
topk,100.0,0,100,100,1000,,,,696.4699902218731
topk,100.0,0,100,100,5000,,,,685.7629328899056
bottomk,0.0,3,100,100,5000,,,,3070.0966897256076
bottomk,0.0,4,100,100,5000,,,,2974.5970665555997
bottomk,0.0,5,100,100,5000,,,,2489.373227101349
bottomk,0.0,2,100,100,5000,,,,3752.2496519535575
bottomk,0.0,9,100,100,5000,,,,3265.0150642688336
bottomk,0.0,7,100,100,5000,,,,2855.383738236171
bottomk,0.0,0,100,100,5000,,,,3352.794580796719
bottomk,0.0,1,100,100,5000,,,,2871.026973433104
bottomk,0.0,6,100,100,5000,,,,3362.562682540818
bottomk,0.0,8,100,100,5000,,,,3584.9571607014227
topk,0.0,3,100,100,5000,,,,2476.298089389447
topk,0.0,4,100,100,5000,,,,2528.014357591179
topk,0.0,5,100,100,5000,,,,1908.8851185823116
topk,0.0,2,100,100,5000,,,,3206.158106725716
topk,0.0,9,100,100,5000,,,,2693.5649200504845
topk,0.0,7,100,100,5000,,,,2350.5439673224064
topk,0.0,0,100,100,5000,,,,2741.288903691169
topk,0.0,1,100,100,5000,,,,2431.11648652819
topk,0.0,6,100,100,5000,,,,2818.679664619582
topk,0.0,8,100,100,5000,,,,2935.0399310921084
random,,3,100,100,5000,,,,2684.543586075989
random,,4,100,100,5000,,,,2732.3488359598887
random,,5,100,100,5000,,,,2095.3653839889266
random,,2,100,100,5000,,,,3478.858966470441
random,,9,100,100,5000,,,,2931.37081261775
random,,7,100,100,5000,,,,2539.0445665727607
random,,1,100,100,5000,,,,2661.4934439839435
random,,6,100,100,5000,,,,3045.518913664953
random,,8,100,100,5000,,,,3195.1717541214343
random,,0,100,100,5000,,,,702.7402578709115
random,,0,100,100,20000,,,,695.0717626241702
random,,0,100,100,1000,,,,713.0870063054105
random,,0,100,100,10000,,,,701.7986914582533
